zip_code,Heat Index
10001,2
10002,3
10003,2
10004,1
10005,1
10006,1
10007,1
10009,2
10010,1
10011,1
10012,2
10013,2
10014,1
10016,2
10017,2
10018,2
10019,2
10021,2
10022,1
10023,1
10024,1
10025,2
10026,5
10027,4
10028,1
10029,4
10030,5
10031,4
10032,3
10033,2
10034,1
10035,5
10036,2
10037,5
10038,2
10039,5
10040,2
10044,1
10065,1
10069,1
10075,2
10103,1
10128,1
10152,2
10278,1
10280,1
10282,1
10301,2
10302,4
10303,3
10304,3
10305,2
10306,1
10307,1
10308,2
10309,1
10310,3
10312,1
10314,1
10451,5
10452,5
10453,5
10454,5
10455,5
10456,5
10457,5
10458,5
10459,5
10460,5
10461,4
10462,5
10463,1
10464,1
10465,1
10466,5
10467,4
10468,4
10469,5
10470,3
10471,1
10472,4
10473,4
10474,5
10475,4
11001,3
11004,3
11005,1
11101,4
11102,3
11103,3
11104,3
11105,3
11106,3
11109,1
11201,2
11203,5
11204,4
11205,4
11206,4
11207,5
11208,4
11209,2
11210,5
11211,3
11212,5
11213,5
11214,4
11215,1
11216,4
11217,2
11218,3
11219,4
11220,3
11221,4
11222,3
11223,4
11224,5
11225,5
11226,5
11228,3
11229,3
11230,4
11231,2
11232,4
11233,5
11234,2
11235,3
11236,5
11237,4
11238,2
11239,3
11249,3
11354,4
11355,4
11356,3
11357,2
11358,3
11360,2
11361,2
11362,1
11363,1
11364,2
11365,2
11366,1
11367,2
11368,4
11369,4
11370,3
11372,3
11373,3
11374,3
11375,2
11377,3
11378,3
11379,1
11385,1
11411,5
11412,5
11413,4
11414,2
11415,2
11416,4
11417,3
11418,3
11419,4
11420,4
11421,2
11422,4
11423,4
11426,3
11427,3
11428,4
11429,5
11432,3
11433,5
11434,5
11435,4
11436,5
11439,3
11691,5
11692,5
11693,4
11694,4
11697,2
