Zip Code,Heat Index,Tree Count,Borough,Average Property Value
10001,2,911.0,Manhattan,7397845.66
10002,3,2265.0,Manhattan,2049924.35
10003,2,2025.0,Manhattan,3532547.09
10004,1,118.0,Manhattan,4511302.34
10005,1,144.0,Manhattan,4380964.22
10006,1,53.0,Manhattan,2574652.52
10007,1,355.0,Manhattan,6357466.32
10009,2,1924.0,Manhattan,2168285.35
10010,1,889.0,Manhattan,2969699.38
10011,1,2134.0,Manhattan,2483003.36
10012,2,1076.0,Manhattan,3172970.52
10013,2,1202.0,Manhattan,1928856.66
10014,1,2591.0,Manhattan,2849727.02
10016,2,1872.0,Manhattan,1751447.14
10017,2,848.0,Manhattan,7021171.74
10018,2,485.0,Manhattan,12679797.98
10019,2,1715.0,Manhattan,2797478.22
10021,2,1959.0,Manhattan,3313287.84
10022,1,1627.0,Manhattan,5732246.12
10023,1,2260.0,Manhattan,1746450.38
10024,1,3311.0,Manhattan,2573719.23
10025,2,3696.0,Manhattan,1342207.61
10026,5,1829.0,Manhattan,663418.61
10027,4,2992.0,Manhattan,1483915.87
10028,1,1806.0,Manhattan,2973246.65
10029,4,2423.0,Manhattan,3160374.37
10030,5,1365.0,Manhattan,968140.26
10031,4,2587.0,Manhattan,1297557.46
10032,3,2217.0,Manhattan,2094314.14
10033,2,1971.0,Manhattan,1915957.16
10034,1,1574.0,Manhattan,2584077.58
10035,5,2010.0,Manhattan,1500888.79
10036,2,894.0,Manhattan,6500762.38
10037,5,698.0,Manhattan,2096830.54
10038,2,374.0,Manhattan,3522555.81
10039,5,801.0,Manhattan,1324294.4
10040,2,1560.0,Manhattan,2122538.49
10065,1,1911.0,Manhattan,3264554.4
10069,1,119.0,Manhattan,690816.61
10075,2,899.0,Manhattan,2099462.17
10128,1,2136.0,Manhattan,1703717.07
10280,1,418.0,Manhattan,696354.04
10282,1,234.0,Manhattan,35562659.22
10301,2,6034.0,Staten Island,580738.57
10302,4,2369.0,Staten Island,406020.12
10303,3,3238.0,Staten Island,375908.25
10304,3,5855.0,Staten Island,533725.86
10305,2,6855.0,Staten Island,470899.11
10306,1,13030.0,Staten Island,470943.2
10307,1,5451.0,Staten Island,602408.06
10308,2,7116.0,Staten Island,471391.25
10309,1,12650.0,Staten Island,597790.78
10310,3,3629.0,Staten Island,444572.43
10312,1,22186.0,Staten Island,554065.16
10314,1,16905.0,Staten Island,500522.36
10451,5,2450.0,Bronx,2239405.07
10452,5,3320.0,Bronx,1305789.73
10453,5,3050.0,Bronx,1201120.9
10454,5,1755.0,Bronx,1177906.31
10455,5,2044.0,Bronx,908519.57
10456,5,4085.0,Bronx,792414.42
10457,5,4175.0,Bronx,1016238.58
10458,5,3405.0,Bronx,1415104.37
10459,5,3078.0,Bronx,830573.43
10460,5,3261.0,Bronx,931873.66
10461,4,5636.0,Bronx,613351.76
10462,5,4234.0,Bronx,226939.85
10463,1,3723.0,Bronx,1186847.99
10464,1,1062.0,Bronx,482614.49
10465,1,5183.0,Bronx,545856.96
10466,5,5088.0,Bronx,466363.47
10467,4,4355.0,Bronx,777261.04
10468,4,2990.0,Bronx,1501897.97
10469,5,6710.0,Bronx,507957.42
10470,3,1388.0,Bronx,521081.9
10471,1,1903.0,Bronx,1299306.77
10472,4,3430.0,Bronx,581065.2
10473,4,4369.0,Bronx,510122.13
10474,5,2644.0,Bronx,1608329.76
10475,4,1865.0,Bronx,4788112.62
11001,3,1371.0,Queens,572618.47
11004,3,4130.0,Queens,709339.66
11101,4,3387.0,Queens,1024723.82
11102,3,1742.0,Queens,688201.17
11103,3,2376.0,Queens,905177.56
11104,3,1664.0,Queens,839079.7
11105,3,3925.0,Queens,838497.39
11106,3,1964.0,Queens,896256.86
11109,1,92.0,Queens,1708602.74
11201,2,4514.0,Brooklyn,1828596.57
11203,5,5141.0,Brooklyn,635798.51
11204,4,4731.0,Brooklyn,829458.32
11205,4,2640.0,Brooklyn,789368.51
11206,4,4068.0,Brooklyn,605004.97
11207,5,8634.0,Brooklyn,529458.17
11208,4,8245.0,Brooklyn,546186.02
