zip_code,Average Property Value
10001,7397845.657391304
10002,2049924.3547145606
10003,3532547.086956522
10004,4511302.342436975
10005,4380964.215316315
10006,2574652.5214592274
10007,6357466.324796274
10009,2168285.3544186046
10010,2969699.3783231084
10011,2483003.35966736
10012,3172970.517656501
10013,1928856.655372701
10014,2849727.021686747
10016,1751447.139031466
10017,7021171.738653366
10018,12679797.984877126
10019,2797478.2177846427
10020,137428949.93939394
10021,3313287.8446327685
10022,5732246.116887773
10023,1746450.3782637804
10024,2573719.234733651
10025,1342207.6131022326
10026,663418.6141975309
10027,1483915.8737226278
10028,2973246.651963746
10029,3160374.370554177
10030,968140.2596153846
10031,1297557.4641472867
10032,2094314.1387696709
10033,1915957.1577868853
10034,2584077.579617834
10035,1500888.7897545358
10036,6500762.375455018
10037,2096830.5447761193
10038,3522555.806680162
10039,1324294.3956386293
10040,2122538.4865900385
10041,14620174.285714285
10044,3450820.7185185184
10065,3264554.3999189627
10069,690816.6126447017
10075,2099462.1674326984
10103,82215353.5
10105,1563000.0
10112,12539930.84375
10115,122671000.0
10118,881013000.0
10119,117102000.0
10128,1703717.0672660673
10129,3336819.0
10152,588665000.0
10165,333689000.0
10172,22851974.0
10173,408924000.0
10271,31954000.0
10280,696354.039628483
10281,344937000.0
10282,35562659.222222224
10301,580738.5679414158
10302,406020.121325245
10303,375908.2476432197
10304,533725.8579430876
10305,470899.1071146245
10306,470943.203324169
10307,602408.0644983462
10308,471391.251569169
10309,597790.7757496741
10310,444572.4260185847
10312,554065.1589678609
10314,500522.3563981043
10451,2239405.0684931506
10452,1305789.733910891
10453,1201120.9026915114
10454,1177906.305128205
10455,908519.5736160189
10456,792414.4196130753
10457,1016238.5772893773
10458,1415104.3735294119
10459,830573.4301389905
10460,931873.6621923938
10461,613351.7637004884
10462,226939.84888501308
10463,1186847.9916020671
10464,482614.48796791444
10465,545856.962925599
10466,466363.47050691245
10467,777261.041544272
10468,1501897.9679408139
10469,507957.4205729167
10470,521081.8957597173
10471,1299306.7745614036
10472,581065.2032163743
10473,510122.12876008806
10474,1608329.762745098
10475,4788112.623762377
10803,901750.0
11001,572618.4703632888
11004,709339.6579831933
11040,785859.44
11101,1024723.8223755902
11102,688201.1687531297
11103,905177.5575974899
11104,839079.7029177719
11105,838497.3880044428
11106,896256.8636109559
11109,1708602.7425742573
11139,184800.0
11201,1828596.5744996294
11203,635798.5056904401
11204,829458.321165122
11205,789368.5119426751
11206,605004.9717586649
11207,529458.1734035326
11208,546186.0183732058
11209,1010970.2213565536
11210,788819.6712811477
11211,670902.8944305902
11212,634821.5598812273
11213,761196.7146118721
11214,774366.079839939
11215,1338606.6991419378
11216,693142.5138070121
11217,1461207.337889142
11218,819098.8327291559
11219,825226.5265505522
11220,808979.7798068849
11221,677180.8985313752
11222,826589.7657388999
11223,839580.0347940568
11224,488311.7708920188
11225,988805.7674300255
11226,912517.4860396767
11227,205333.33333333334
11228,862545.4208523592
11229,675766.391434263
11230,1028729.9935499283
11231,1040205.2509803922
11232,1099672.5576923077
11233,696307.0706643444
11234,615051.4495343297
11235,656932.8714652957
11236,542977.3205457247
11237,648820.6936416185
11238,920742.2306261624
11239,2141130.7339055794
11241,47414000.0
11242,538000.0
11243,346204.25
11249,619104.7634647418
11251,794553.0
11354,758401.3715503702
11355,657582.3423913043
11356,735993.7967806841
11357,861008.1447534766
11358,720067.177581262
11360,874573.4823756639
11361,779773.3174704567
11362,1291232.2455026456
11363,995486.3241025641
11364,842779.3262273902
11365,747854.6446641466
11366,1016172.2167906483
11367,698479.0611256057
11368,713183.4934579439
11369,698900.4317637669
11370,636627.8200905722
11371,629000.0
11372,1023150.2510312316
11373,727259.3848422964
11374,896695.7682724253
11375,1100041.5251312829
11377,774350.0166354264
11378,687362.7569499603
11379,667706.964716806
11385,654479.0815811607
11411,422829.2512274959
11412,409229.40249759844
11413,483715.2319474836
11414,775509.9735639687
11415,858071.3304455446
11416,502237.8096740273
11417,503586.2581100141
11418,544988.1915922619
11419,473430.9700796047
11420,478867.5013717421
11421,576353.2154659617
11422,494797.5178064923
11423,606519.400332226
11426,669058.271864068
11427,609585.8249158249
11428,445221.0521303258
11429,413652.05900266464
11430,2810400.0
11432,912880.459524526
11433,511866.9574036511
11434,535670.9446607912
11435,618672.8636511553
11436,396211.894482091
11691,555488.0413793103
11692,528954.0027624309
11693,401929.55904761906
11694,672969.3423019432
11696,380548.0
11697,39528525.666666664
33803,229000.0
