zip_code,tree_count,boro
10001,911,Manhattan
10002,2265,Manhattan
10003,2025,Manhattan
10004,118,Manhattan
10005,144,Manhattan
10006,53,Manhattan
10007,355,Manhattan
10009,1924,Manhattan
10010,889,Manhattan
10011,2134,Manhattan
10012,1076,Manhattan
10013,1202,Manhattan
10014,2591,Manhattan
10016,1872,Manhattan
10017,848,Manhattan
10018,485,Manhattan
10019,1715,Manhattan
10020,94,Manhattan
10021,1959,Manhattan
10022,1627,Manhattan
10023,2260,Manhattan
10024,3311,Manhattan
10025,3696,Manhattan
10026,1829,Manhattan
10027,2992,Manhattan
10028,1806,Manhattan
10029,2423,Manhattan
10030,1365,Manhattan
10031,2587,Manhattan
10032,2217,Manhattan
10033,1971,Manhattan
10034,1574,Manhattan
10035,2010,Manhattan
10036,894,Manhattan
10037,698,Manhattan
10038,374,Manhattan
10039,801,Manhattan
10040,1560,Manhattan
10048,12,Manhattan
10065,1911,Manhattan
10069,119,Manhattan
10075,899,Manhattan
10111,25,Manhattan
10115,7,Manhattan
10128,2136,Manhattan
10280,418,Manhattan
10281,72,Manhattan
10282,234,Manhattan
10301,6034,Staten Island
10302,2369,Staten Island
10303,3238,Staten Island
10304,5855,Staten Island
10305,6855,Staten Island
10306,13030,Staten Island
10307,5451,Staten Island
10308,7116,Staten Island
10309,12650,Staten Island
10310,3629,Staten Island
10312,22186,Staten Island
10314,16905,Staten Island
10451,2450,Bronx
10452,3320,Bronx
10453,3050,Bronx
10454,1755,Bronx
10455,2044,Bronx
10456,4085,Bronx
10457,4175,Bronx
10458,3405,Bronx
10459,3078,Bronx
10460,3261,Bronx
10461,5636,Bronx
10462,4234,Bronx
10463,3723,Bronx
10464,1062,Bronx
10465,5183,Bronx
10466,5088,Bronx
10467,4355,Bronx
10468,2990,Bronx
10469,6710,Bronx
10470,1388,Bronx
10471,1903,Bronx
10472,3430,Bronx
10473,4369,Bronx
10474,2644,Bronx
10475,1865,Bronx
11001,1371,Queens
11004,4130,Queens
11005,168,Queens
11040,865,Queens
11096,9,Queens
11101,3387,Queens
11102,1742,Queens
11103,2376,Queens
11104,1664,Queens
11105,3925,Queens
11106,1964,Queens
11109,92,Queens
11201,4514,Brooklyn
11203,5141,Brooklyn
11204,4731,Brooklyn
11205,2640,Brooklyn
11206,4068,Brooklyn
11207,8634,Brooklyn
11208,8245,Brooklyn
11209,6201,Brooklyn
11210,5452,Brooklyn
11211,4143,Brooklyn
11212,4205,Brooklyn
11213,3652,Brooklyn
11214,4341,Brooklyn
11215,6360,Brooklyn
11216,3512,Brooklyn
11217,3244,Brooklyn
11218,4868,Brooklyn
11219,4463,Brooklyn
11220,4677,Brooklyn
11221,5098,Brooklyn
11222,3704,Brooklyn
11223,5981,Brooklyn
11224,1949,Brooklyn
11225,2868,Brooklyn
11226,3875,Brooklyn
11228,3785,Brooklyn
11229,6099,Brooklyn
11230,7336,Brooklyn
11231,3660,Brooklyn
11232,2110,Brooklyn
11233,4732,Brooklyn
11234,11253,Brooklyn
11235,5157,Brooklyn
11236,6859,Brooklyn
11237,2948,Brooklyn
11238,3872,Brooklyn
11239,988,Brooklyn
11249,1842,Brooklyn
11251,93,Brooklyn
11354,5824,Queens
11355,5287,Queens
11356,3099,Queens
11357,9449,Queens
11358,6928,Queens
11360,2498,Queens
11361,6181,Queens
11362,4429,Queens
11363,2851,Queens
11364,7054,Queens
11365,7428,Queens
11366,3013,Queens
11367,5221,Queens
11368,4346,Queens
11369,3296,Queens
11370,3179,Queens
11371,129,Queens
11372,3295,Queens
11373,4204,Queens
11374,3084,Queens
11375,7059,Queens
11377,5651,Queens
11378,4033,Queens
11379,4893,Queens
11385,10937,Queens
11411,3229,Queens
11412,4697,Queens
11413,7470,Queens
11414,4650,Queens
11415,1743,Queens
11416,1790,Queens
11417,3666,Queens
11418,3391,Queens
11419,2805,Queens
11420,5494,Queens
11421,2855,Queens
11422,6324,Queens
11423,3591,Queens
11426,5121,Queens
11427,4377,Queens
11428,2838,Queens
11429,2912,Queens
11430,37,Queens
11432,6958,Queens
11433,3745,Queens
11434,8274,Queens
11435,4595,Queens
11436,2407,Queens
11451,12,Queens
11691,5718,Queens
11692,2013,Queens
11693,1169,Queens
11694,3572,Queens
11697,30,Queens
